raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
4,12,57,97777.73684210527,5573331,4595.1803187311525,0.0,0.0,Nelson Piquet Jr.,10,15,0.0,1,3,1
4,13,56,98482.44642857143,5515017,5858.323396267887,0.0,0.0,Felipe Massa,14,8,0.0,11,3,2
4,15,57,96795.64912280702,5517352,4597.070447156026,0.0,0.0,Jarno Trulli,3,1,6.0,1,3,0
4,16,56,98649.10714285714,5524350,4664.37388832948,0.0,0.0,Adrian Sutil,16,19,0.0,11,3,2
4,17,57,97821.45614035087,5575823,4928.139463726127,0.0,0.0,Mark Webber,11,18,0.0,1,3,2
4,18,57,96634.77192982456,5508182,4887.271931169575,0.0,0.0,Jenson Button,1,4,10.0,1,3,0
4,20,57,96760.85964912281,5515369,4450.180222829651,0.0,0.0,Sebastian Vettel,2,3,8.0,1,3,0
4,21,56,98605.23214285714,5521893,4884.196518982314,0.0,0.0,Giancarlo Fisichella,15,17,0.0,11,3,2
4,22,57,97297.56140350878,5545961,5258.232518148306,0.0,0.0,Rubens Barrichello,5,6,4.0,1,3,1
4,67,56,98676.89285714286,5525906,5166.32071182216,0.0,0.0,Sébastien Buemi,17,16,0.0,11,3,2
5,1,65,89849.47692307692,5840216,13800.859999366527,0.0,0.0,Lewis Hamilton,9,14,0.0,11,4,1
5,2,66,89265.36363636363,5891514,13720.080372758935,0.0,0.0,Nick Heidfeld,7,13,2.0,1,4,1
5,3,66,89460.80303030302,5904413,13816.606336322746,0.0,0.0,Nico Rosberg,8,9,1.0,1,4,1
5,4,66,89126.78787878787,5882368,13946.252130138377,0.0,0.0,Fernando Alonso,5,8,4.0,1,4,1
5,5,7,128285.0,897995,19575.245617871562,0.0,0.0,Heikki Kovalainen,16,18,0.0,6,4,2
5,6,65,90109.43076923076,5857113,13953.420214647676,0.0,0.0,Kazuki Nakajima,13,11,0.0,11,4,2
5,8,17,99877.88235294117,1697924,23503.09316845964,0.0,0.0,Kimi Räikkönen,15,16,0.0,9,4,2
5,9,65,89904.78461538462,5843811,13761.049978667499,0.0,0.0,Robert Kubica,11,10,0.0,11,4,2
5,10,65,89861.38461538461,5840990,13783.445673946502,0.0,0.0,Timo Glock,10,6,0.0,11,4,1
5,12,65,89940.10769230769,5846107,13762.770008844373,0.0,0.0,Nelson Piquet Jr.,12,12,0.0,11,4,2
5,13,66,89242.86363636363,5890029,14024.035289883153,0.0,0.0,Felipe Massa,6,4,3.0,1,4,1
5,17,66,88683.72727272728,5853126,14094.594287877178,0.0,0.0,Mark Webber,3,5,6.0,1,4,0
5,18,66,88472.75757575757,5839202,14152.09455773581,0.0,0.0,Jenson Button,1,1,10.0,1,4,0
5,20,66,88759.74242424243,5858143,14034.733202704474,0.0,0.0,Sebastian Vettel,4,2,5.0,1,4,1
5,21,65,90319.07692307692,5870740,13878.378296278544,0.0,0.0,Giancarlo Fisichella,14,20,0.0,11,4,2
5,22,66,88670.57575757576,5852258,14222.903342102405,0.0,0.0,Rubens Barrichello,2,3,8.0,1,4,0
6,1,77,79050.41558441559,6086882,5071.578920422094,0.0,0.0,Lewis Hamilton,12,19,0.0,11,6,2
6,2,77,79029.12987012987,6085243,3504.705109415698,0.0,0.0,Nick Heidfeld,11,16,0.0,11,6,2
6,3,78,77921.38461538461,6077868,3322.069161304067,0.0,0.0,Nico Rosberg,6,6,3.0,1,6,1
6,4,78,77975.91025641025,6082121,3314.2830420394994,0.0,0.0,Fernando Alonso,7,9,2.0,1,6,1
6,5,51,78147.92156862745,3985544,3462.5081882539303,0.0,0.0,Heikki Kovalainen,16,7,0.0,3,6,2
6,6,76,78650.55263157895,5977442,3435.446231645366,0.0,0.0,Kazuki Nakajima,15,10,0.0,3,6,2
